sequence_id,signal,confidence,predicted_class,class_name,probabilities
0,SELL,-3.172728194892784,0,down,"[-3.172728194892784, 3.775054688281555, 0.39767350661122863]"
1,BUY,0.976403655537795,2,up,"[0.03358485191276491, -0.009988507450559885, 0.976403655537795]"
2,SELL,-0.7361471215580038,0,down,"[-0.7361471215580038, 1.377405957178805, 0.35874116437919873]"
3,SELL,0.7084122119801255,0,down,"[0.7084122119801255, 0.3422076834915264, -0.05061989547165186]"
4,SELL,-0.6671312100057079,0,down,"[-0.6671312100057079, 0.8151312094559968, 0.852000000549711]"
